DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1468.9,111.0975,84.1767,6.3915,5.585,0.010234,0.127177,2.4109,1.0,0.462248,0.7792
1469.0,112.017,83.9124,6.227,5.45,0.035051,0.14156,2.3189,1.0,0.468877,0.7097
1469.1,115.533,83.8881,5.836,5.113,0.034834,0.141403,2.2969,1.0,0.482993,0.7101
1469.2,116.7265,83.4738,5.6575,4.9545,0.030434,0.138272,2.2872,1.0,0.499385,0.7185
1469.3,117.92,82.2604,5.479,4.796,0.031965,0.139347,2.286,1.0,0.508999,0.7155
1469.4,117.354,80.6954,5.238,4.57,0.039848,0.145112,2.2993,1.0,0.503731,0.7014
1469.5,115.5735,79.2043,5.1905,4.5115,0.047617,0.151083,2.3276,1.0,0.489349,0.6894
1469.6,113.793,79.3839,5.143,4.453,0.054239,0.156333,2.3229,1.0,0.483847,0.6802
1469.7,108.764,80.5919,5.178,4.437,0.035599,0.14196,2.3208,1.0,0.496855,0.7087
1469.8,106.576,82.1907,5.276,4.504,0.0001,0.11875,2.363,1.0,0.519136,0.7905
1469.9,104.388,84.0291,5.374,4.571,0.0001,0.122686,2.354,1.0,0.527444,0.8168
1470.0,103.358,85.6639,5.599,4.751,0.0001,0.119478,2.3261,1.0,0.512021,0.7954
1470.1,102.328,84.8561,5.824,4.931,0.014491,0.128716,2.3315,1.0,0.490855,0.7611
1470.2,102.979,82.3811,6.653,5.605,0.015884,0.129366,2.3781,1.0,0.481907,0.7561
1470.3,104.155,78.8008,7.2245,6.071,0.019563,0.131312,2.4121,0.9783,0.482277,0.7446
1470.4,105.331,77.9123,7.796,6.537,0.022016,0.132753,2.4232,0.9443,0.477102,0.7378
